kabupaten,tahun,A_Pertanian_KP,B_Pertambangan,C_Industri_Pengolahan,D_Pengadaan_LG,E_Pengadaan_Air_dll,F_Konstruksi,G_Perdagangan_Besar_dll,H_Transportasi,I_Penyediaan_AkMamin,J_Infokom,K_Jasa_Keuangan,L_Real_Estate,M_N_Jasa_Perusahaan,O_Administrasi_Pem,P_Jasa_Pendidikan,Q_Jasa_KesSos,R_S_T_U_Jasa_Lain,PDRB,ipm,miskin,pertumbuhan,gini,unemploy,pop_ribujiwa,pdrb_perkap,pct_formal,pend_miskin,Pertumbuhan_Inklusif,Kategori_Inklusif
Enrekang,2017,1698.23,138.32,300.02,6.16,4.45,590.71,442.73,41.66,33.28,188.28,112.57,116.92,1.08,302.83,84.55,83.53,21.09,4166.4,71.44,13.16,6.84,0.37,1.87,203.57,31.28,19.33,26.71,0.6254,CUKUP INKLUSIF
Enrekang,2018,1642.78,151.5,320.54,6.56,4.92,637.41,471.53,47.09,36.55,206.99,119.18,122.99,1.2,325.15,91.94,91.87,23.86,4302.05,72.15,12.49,3.26,0.39,1.66,205.25,32.81,18.57,25.53,0.5641,CUKUP INKLUSIF
Enrekang,2019,1726.32,152.12,374.0,6.83,5.08,665.2,487.24,48.57,39.69,215.77,122.83,129.66,1.32,337.42,98.2,99.08,26.23,4535.55,72.66,12.33,5.43,0.36,2.15,206.88,35.28,23.7,25.4,0.6246,CUKUP INKLUSIF
Enrekang,2020,1729.39,154.6,365.27,7.25,5.53,677.35,493.12,45.78,38.54,240.03,123.85,136.52,1.3,337.83,103.44,106.56,25.86,4592.23,72.76,12.17,1.25,0.37,2.44,225.17,33.54,24.13,25.25,0.5549,CUKUP INKLUSIF
Enrekang,2021,1906.33,157.59,379.82,7.73,5.88,698.85,519.06,49.46,38.91,267.15,129.37,141.91,1.33,331.13,108.58,113.18,28.1,4884.37,72.91,12.47,6.36,0.36,2.34,227.69,36.03,22.79,26.13,0.6415,CUKUP INKLUSIF
Enrekang,2022,1922.35,162.71,422.68,7.84,6.19,713.83,545.08,55.5,43.97,277.08,134.58,147.46,1.53,358.0,112.73,122.16,31.7,5065.36,73.39,12.39,3.71,0.35,0.58,231.12,39.05,23.38,26.15,0.6138,CUKUP INKLUSIF
Enrekang,2023,1943.82,169.87,433.04,8.41,6.5,734.9,562.61,59.26,46.79,289.97,141.19,151.96,1.62,348.5,119.22,130.69,35.06,5183.42,73.89,12.69,2.33,0.37,1.53,234.57,41.15,23.09,26.97,0.5837,CUKUP INKLUSIF
Enrekang,2024,2057.54,174.12,458.44,8.71,6.62,724.34,588.73,61.86,48.74,301.22,146.28,156.51,1.64,377.42,130.87,141.83,38.83,5423.7,74.61,11.25,4.64,0.34,1.51,238.1,44.01,27.57,24.06,0.6487,CUKUP INKLUSIF
Enrekang,2025,2183.69,178.68,502.83,9.09,6.91,705.88,622.28,64.9,53.24,318.04,156.21,163.27,1.73,383.66,135.31,148.4,42.99,5677.13,76.5,10.73,4.67,0.36,1.78,241.7,46.93,28.55,23.09,0.6552,CUKUP INKLUSIF
Gowa,2010,2594.77,165.56,485.84,11.93,11.22,628.17,749.13,98.09,170.52,620.99,137.09,380.27,8.28,501.08,341.35,126.84,101.35,7132.48,63.83,9.49,6.87,0.43,7.75,652.94,10.89,29.44,62.1,0.4984,CUKUP INKLUSIF
