kabupaten,tahun,Pelayanan_Umum,Ketertiban_aman,Ekonomi,Lingk_hidup,Perum_Fasum,Kesehatan,Pariwisata,Pendidikan,Perlindungan_Sosial,Total,A_Pertanian_KP,B_Pertambangan,C_Industri_Pengolahan,D_Pengadaan_LG,E_Pengadaan_Air_dll,F_Konstruksi,G_Perdagangan_Besar_dll,H_Transportasi,I_Penyediaan_AkMamin,J_Infokom,K_Jasa_Keuangan,L_Real_Estate,M_N_Jasa_Perusahaan,O_Administrasi_Pem,P_Jasa_Pendidikan,Q_Jasa_KesSos,R_S_T_U_Jasa_Lain,PDRB,ipm,miskin,pertumbuhan,gini,unemploy,pop_ribujiwa,pdrb_perkap,pct_formal,pend_miskin
Gowa,2018,480.0367356,12.2570007,67.9306053,13.89097602,340.1169326,303.0159369,7.044650512,579.3883857,23.95985368,1827.641077,3708.33,427.99,811.12,24.32,17.27,1390.95,1585.64,181.62,329.24,1423.44,289.66,963.12,15.46,632.19,594.12,237.65,190.54,12822.68,68.87,7.83,7.14,0.38,4.8,751.98,25.07,37.2,59.34
Gowa,2020,582.3750075,11.76220116,49.71791541,10.41121627,251.2342561,369.3942665,4.589496579,571.2242569,31.5530235,1882.26164,3852.28,500.62,853.49,26.55,19.74,1536.08,1695.56,193.51,316.99,1752.99,308.69,1070.84,15.22,738.99,673.34,283.84,187.04,14025.76,70.14,7.38,1.76,0.35,6.44,765.84,28.2,39.05,57.68
Gowa,2021,508.570991,28.38541237,223.1796557,40.03168623,4.481766332,415.2531122,4.428320342,564.8686261,15.58235539,1804.781926,4289.11,520.64,933.5,28.01,20.53,1597.53,1798.11,209.82,329.32,1886.67,331.15,1097.61,16.06,782.53,696.91,305.13,201.07,15043.7,70.29,7.54,7.26,0.36,4.3,775.24,30.36,38.67,58.66
Gowa,2022,512.8059436,43.01781686,398.1676049,23.83960543,24.16831306,327.83872,3.834610298,542.1162672,8.332315215,1884.121197,4432.28,533.66,1048.83,28.69,21.88,1616.3,1912.63,245.59,381.64,1981.01,339.93,1130.54,18.31,786.02,710.85,329.54,217.16,15734.85,70.99,7.36,4.59,0.36,3.26,788.16,32.5,33.23,57.96
Gowa,2023,544.7629205,19.76493555,395.0959822,17.93316005,15.96634185,391.9371301,4.140354757,599.5905175,6.953301891,1996.144644,4627.81,569.87,1185.18,32.3,23.11,1617.99,2042.22,275.17,463.75,2092.04,332.59,1225.02,21.13,783.34,717.25,386.22,255.38,16650.36,71.57,7.42,5.82,0.38,3.43,801.11,35.52,35.85,59.1
Gowa,2024,600.3544587,0,0,0,0,430.9617638,4.183798099,702.023658,0,1692.678533,4653.29,603.85,1287.16,33.18,24.24,1658.73,2204.79,288.31,520.21,2254.29,346.26,1356.29,22.96,822.55,759.16,417.55,294.17,17547,72.26,6.85,5.39,0.33,3.91,814.04,37.77,39.8,55.13
Gowa,2025,618.4504234,0,0,0,0,419.3037727,4.039815307,719.3846037,0,1788.359892,4955.86,640.16,1412.5,32.99,25.41,1760.61,2319.12,305.14,570.94,2383.13,374.43,1529.49,24.21,846.12,814.23,458.91,328.8,18782.06,74.22,6.64,7.04,0.32,4.25,827,41.35,47.39,54.04
Jeneponto,2014,251.5212873,11.47828802,74.02115645,10.89127083,100.2728524,121.4139671,4.056212317,215.4176893,5.151609521,794.2243332,2349.83,96.19,171.6,10.03,4.57,439.07,646.06,51.52,13.57,215.86,99.64,115.2,0.94,326.24,104.59,101.93,26.8,4773.64,61.45,15.31,7.93,0.36,2.7,353.29,17.42,23.09,54.2
Jeneponto,2015,304.7337256,9.813732883,83.2530261,9.081484524,131.2431774,152.2718778,4.465876852,315.5911456,5.578157144,1016.032204,2453.88,111.56,183.04,10,4.6,477.65,711.27,55.72,15.44,238.91,104.47,123.72,1,341.89,112.17,111.42,29.21,5085.92,61.61,15.18,6.54,0.36,4,355.45,19.69,23.24,53.87
Jeneponto,2016,44.52482191,48.91782118,6.597781731,0.913049601,3.34149594,130.0620884,312.1869001,3.785101772,7.158665935,557.4877266,2638.36,125.88,195.93,10.5,4.82,512.75,791.96,58.88,17.55,263.19,117.1,131.46,1.06,368.72,119.35,119.45,31.88,5508.83,61.81,15.49,8.32,0.36,4,357.84,21.94,23.39,55.32
