kabupaten;tahun;Pelayanan_Umum;Ketertiban_aman;Ekonomi;Lingk_hidup;Perum_Fasum;Kesehatan;Pariwisata;Pendidikan;Perlindungan_Sosial;Total;A_Pertanian_KP;B_Pertambangan;C_Industri_Pengolahan;D_Pengadaan_LG;E_Pengadaan_Air_dll;F_Konstruksi;G_Perdagangan_Besar_dll;H_Transportasi;I_Penyediaan_AkMamin;J_Infokom;K_Jasa_Keuangan;L_Real_Estate;M_N_Jasa_Perusahaan;O_Administrasi_Pem;P_Jasa_Pendidikan;Q_Jasa_KesSos;R_S_T_U_Jasa_Lain;PDRB;ipm;miskin;pertumbuhan;gini;unemploy;pop_ribujiwa;pdrb_perkap;pct_formal;pend_miskin
Enrekang;2016;163,5;7,6;167,2;100,9;48,4;144,8;0,3;300,6;12,2;945,4;1605,28;127,88;279,38;5,82;4,14;546,55;409,38;38,36;30,36;172,61;108,77;108,87;1;285,69;79,12;77,21;19,18;3899,59;70,79;13,41;7,63;0,39;1,33;201,84;29,22;18,3;26,98
Enrekang;2017;114,9;11,8;233,1;141,2;13,9;162,1;0,0;296,2;14,3;987,6;1698,23;138,32;300,02;6,16;4,45;590,71;442,73;41,66;33,28;188,28;112,57;116,92;1,08;302,83;84,55;83,53;21,09;4166,4;71,44;13,16;6,84;0,37;1,87;203,57;31,28;19,33;26,71
Enrekang;2018;327,9;0,0;67,0;138,9;0,0;160,0;0,0;301,4;11,2;1006,5;1642,78;151,5;320,54;6,56;4,92;637,41;471,53;47,09;36,55;206,99;119,18;122,99;1,2;325,15;91,94;91,87;23,86;4302,05;72,15;12,49;3,26;0,39;1,66;205,25;32,81;18,57;25,53
Enrekang;2019;331,0;0,0;62,1;116,5;0,0;189,8;0,0;338,7;12,5;1050,6;1726,32;152,12;374;6,83;5,08;665,2;487,24;48,57;39,69;215,77;122,83;129,66;1,32;337,42;98,2;99,08;26,23;4535,55;72,66;12,33;5,43;0,36;2,15;206,88;35,28;23,7;25,4
Enrekang;2020;314,8;18,4;51,6;8,2;142,8;201,5;0,0;354,9;9,0;1101,3;1729,39;154,6;365,27;7,25;5,53;677,35;493,12;45,78;38,54;240,03;123,85;136,52;1,3;337,83;103,44;106,56;25,86;4592,23;72,76;12,17;1,25;0,37;2,44;225,17;33,54;24,13;25,25
Enrekang;2021;276,7;11,5;106,6;180,4;4,7;220,0;0,3;303,5;11,0;1114,7;1906,33;157,59;379,82;7,73;5,88;698,85;519,06;49,46;38,91;267,15;129,37;141,91;1,33;331,13;108,58;113,18;28,1;4884,37;72,91;12,47;6,36;0,36;2,34;227,69;36,03;22,79;26,13
Enrekang;2022;280,9;7,5;305,4;13,8;27,1;230,9;6,5;385,7;4,5;1262,3;1922,35;162,71;422,68;7,84;6,19;713,83;545,08;55,5;43,97;277,08;134,58;147,46;1,53;358;112,73;122,16;31,7;5065,36;73,39;12,39;3,71;0,35;0,58;231,12;39,05;23,38;26,15
Enrekang;2023;692,5;1,0;163,2;2,2;9,2;126,8;6,6;70,8;1,5;1073,8;1943,82;169,87;433,04;8,41;6,5;734,9;562,61;59,26;46,79;289,97;141,19;151,96;1,62;348,5;119,22;130,69;35,06;5183,42;73,89;12,69;2,33;0,37;1,53;234,57;41,15;23,09;26,97
Enrekang;2024;300,9;0,0;0,0;0,0;0,0;251,2;1,2;360,3;0,0;1093,3;2057,54;174,12;458,44;8,71;6,62;724,34;588,73;61,86;48,74;301,22;146,28;156,51;1,64;377,42;130,87;141,83;38,83;5423,7;74,61;11,25;4,64;0,34;1,51;238,1;44,01;27,57;24,06
Enrekang;2025;508,8;0,0;28,3;0,0;0,0;204,6;4,3;243,9;0,0;1072,9;2183,69;178,68;502,83;9,09;6,91;705,88;622,28;64,9;53,24;318,04;156,21;163,27;1,73;383,66;135,31;148,4;42,99;5677,13;76,5;10,73;4,67;0,36;1,78;241,7;46,93;28,55;23,09
